event_key,first_person_share,followup_marker_count,hedge_share,label,modal_share,mse_gain_vs_hard,numeric_token_share,question_mark_count,second_person_share,sentence_like_count,tail_top1_question_text,ticker,token_count,year
DIS_2023_Q4,0.0,0.0,0.018691588785046728,negative,0.028037383177570093,-6.883439665203772e-11,0.0,2.0,0.018691588785046728,9.0,"Great. Maybe first, a follow-up to Ben's question. Bob, is there an opportunity for ESPN to add local sports rights given what's happening to the RSN model or potentially add sports rights to be distributed outside the U.S.? That's the first question. And then second question is Warner Bros. basically made some news recently by licensing some of their -- what would be considered some of their tentpole content, their DC universe to Netflix. Is that something you think that Disney can do or can lean into more -- at least more so than you're doing now without diluting the Disney brand or the Disney+ growth prospects?",DIS,107.0,2023
IBM_2023_Q2,0.021739130434782608,0.0,0.028985507246376812,positive,0.036231884057971016,9.751846654591493e-11,0.028985507246376812,3.0,0.057971014492753624,9.0,"Arvind, you noted some initial traction around AI, and I was wondering -- you guys have made a lot of major announcements around AI. Wondering if you can share some thoughts on AI monetization in the short to medium term. And any quantification, if possible, either in terms of dollars or growth rates or '23, '24 would be helpful. And if I could, Jim, you saw very strong transaction processing growth. You noted a few different items there. I was wondering if you could talk about how much of that is structural versus cyclical. And if transaction processing is growing this fast, does that drive upside to software revenue for the year? Or are there other areas that are offsetting? And if you could just reiterate if Red Hat, do you still expect that to grow 11% to 13%?",IBM,138.0,2023
IBM_2024_Q2,0.0410958904109589,1.0,0.0410958904109589,positive,0.0273972602739726,1.4527045736471123e-10,0.0,2.0,0.0684931506849315,4.0,"Arvind, if we could pick up right where you left off there. Can you just give us a little more color on the decision to open up the Granite models and the code base? And then really what you're seeing in the market that makes you feel like taking maybe a more developer-focused approach to those? I think as you put it, fit-for-purpose models is the right long-term strategy.",IBM,73.0,2024
MSFT_2023_Q4,0.017241379310344827,0.0,0.04310344827586207,flat,0.017241379310344827,0.0,0.0,3.0,0.05172413793103448,5.0,"I guess maybe just a multi-parter. You mentioned a couple of times that with the AI workload adoption that you're seeing on Azure, it's starting to look maybe a little bit different from an incremental share gain perspective versus previous generations. Can you maybe expand upon that? How should that drive for Azure consumption, particularly as we get through the year? And do you see a scenario where either the combination of lapping the optimization headwind, plus the AI contribution, plus this incremental tailwind that you're seeing around the workloads actually does drive a reacceleration in Azure, particularly in the second half when you're going to start to see some of those things kick in?",MSFT,116.0,2023
MSFT_2024_Q2,0.015873015873015872,0.0,0.047619047619047616,flat,0.0,0.0,0.031746031746031744,3.0,0.015873015873015872,3.0,"Is it possible to unpack the 6-point AI services tailwind just to help us understand which elements are ramped up by the 3 incremental points? For instance, is it more of the OpenAI inferencing, GitHub Copilot, other Copilots, the Azure OpenAI Service, third-party LLMs running on Azure? I'm just wondering where did you see the strongest step-up in that activity?",MSFT,63.0,2024
MSFT_2024_Q3,0.02127659574468085,0.0,0.02127659574468085,positive,0.02127659574468085,1.2717259236078476e-10,0.02127659574468085,2.0,0.031914893617021274,7.0,"Satya and Amy, congrats on these outstanding Azure results. I'd love to hone in a little bit on the 7 point lift to Azure growth from AI, outstanding number, but it's leveling off a little bit from 6 points in December. I'm wondering if you could unpack that a little bit. To what extent did the capacity issues that you Amy highlighted on the call impact that number. Is there any seasonality? I wouldn't think so. Or any other factor that can swing around that number that you'd advise us to keep in mind?",MSFT,94.0,2024
MSFT_2025_Q1,0.009708737864077669,1.0,0.009708737864077669,positive,0.019417475728155338,2.7073998987791403e-10,0.0,4.0,0.019417475728155338,8.0,"Congratulations on the quarter. The question every investor obviously asks is a question on the CapEx growth and the CapEx spend. Obviously, half of that facility is an equivalent that have a longer life, but the other half is the rest of the components. Can you give any color on how you think of that growth? Does it return to the traditional approach, where basically CapEx is going to grow in line or slightly slower than cloud revenue? And if so, any sense of the timing? Do we have enough facilities online by sometime next year, et cetera? Any color would be appreciated.",MSFT,103.0,2025
NKE_2023_Q1,0.031496062992125984,1.0,0.031496062992125984,positive,0.015748031496062992,1.022105948255233e-09,0.031496062992125984,2.0,0.06299212598425197,5.0,"Matt, I was just wondering if you -- to clarify 1 simple thing, you said North America inventory peaked in first quarter. Could you clarify that the total company inventory starts to decline on a year-over-year basis after this? Maybe some of the visibility you have into the back half related to how you're building it after your comment that 2Q will be the low watermark on gross margins. And then, John, I know it's a very different macro but the comments you guys just made for fiscal '24 and beyond. Any reflection on the 5-year targets that you gave us a year ago, some of the growth rates and year-over-year margin opportunities as we get past this year relative to that plan?",NKE,127.0,2023
NKE_2023_Q2,0.05263157894736842,0.0,0.02631578947368421,negative,0.015789473684210527,-1.610800735440463e-10,0.010526315789473684,4.0,0.05789473684210526,14.0,"Congrats on a great quarter. I know it's a lot of heavy lifting. And maybe a simple question, how do you feel on North America inventory in the channel? I know you moved a mountain, but you have a big wholesale business. It's hard for us to track inventory once it leaves your books. Are we past the peak promotions in the U.S.? Is this the highest level of promotions in your view? It would seem so based on some of the inventory comments you gave on the U.S. I just wanted to check that. And then I guess as you start to come out of some of the recent volatility, maybe you can help us connect back to your longer-term targets, in particular, the path to the high teens EBIT margins and the major input to getting there, the D2C versus wholesale transition since we don't get many numbers reported on the margins between those 2 channels. How would you tell us to think about building our understanding into how you get there from here because that seems like the next part of the NIKE story?",NKE,190.0,2023
NVDA_2023_Q1,0.05813953488372093,2.0,0.03488372093023256,positive,0.0,2.649502887187864e-09,0.046511627906976744,2.0,0.03488372093023256,5.0,"I wanted to follow up on the sequential. So Colette, I know you said the $500 million was a $400 million hit to Gaming and a $100 million hit to data. So I'm assuming, that doesn't mean the Gaming is down $400 million. I mean, is Gaming -- do you see Gaming actually down more than the actual Russia and lockdown hit? And I guess just how do I think about the relative sequentials of the businesses in light of those constraints that you guys are facing?",NVDA,86.0,2023
