agreement,dominant_abs_score,dominant_component,dominant_component_label,dominant_sign,event_key,hard_abstention_se,pre_call_market_se,question_role_mse_gain_vs_geometry,question_role_mse_gain_vs_hard,question_role_mse_gain_vs_pre,question_role_se,question_role_use_agreed,question_text_preview,row_key,state,ticker,year
0,2.713930120899613,2,you / just / your / about / how / on / maybe / could,-1,CSCO_2023_Q3,2.405517273657038e-11,2.405517273657038e-11,0.0,0.0,0.0,2.405517273657038e-11,0,I guess I wanted to ask about the growth expectation for this year. I'm curious about your view. How much of that growth comes from price? How much comes from backlog consumption? What are the bigger factors driving t...,val2022_test_post2022::CSCO_2023_Q3,disagreement_auto_pre,CSCO,2023
0,1.238615616426309,1,the / and / to / of / that / we / you / in,1,CSCO_2023_Q4,1.3549022009106874e-11,1.3549022009106874e-11,0.0,0.0,0.0,1.3549022009106874e-11,0,"Fantastic kind of data points around the traction with the hyperscalers. When it comes to kind of the $0.5 billion of orders you noted or even kind of the 800-gig trials, is that with Scheduled Fabric? Is that with Si...",val2022_test_post2022::CSCO_2023_Q4,disagreement_auto_pre,CSCO,2023
1,1.1095525714682088,1,the / and / to / of / that / we / you / in,1,CSCO_2024_Q1,7.5287287536365e-10,7.5287287536365e-10,0.0,0.0,0.0,7.5287287536365e-10,0,"Just continuing on that last question. If I look around the space, companies have been dealing with excess inventories for really 3 quarters now. And I guess, I'm just curious, why is this now becoming more evident at...",val2022_test_post2022::CSCO_2024_Q1,agreement_veto_to_pre,CSCO,2024
1,0.8699148116965221,2,we re / that we / and we / and so,1,CSCO_2024_Q3,8.315803713813133e-11,8.315803713813133e-11,0.0,0.0,0.0,8.315803713813133e-11,1,"I have a couple as well, if I may. I know you're talking about the deployments with your customers, enterprise customers being higher than what you're shipping to, and that implies you'll take a step-up in terms of re...",val2022_test_post2022::CSCO_2024_Q3,agreement_keep_agreed,CSCO,2024
0,0.9317520633105393,1,the / and / to / of / that / we / you / in,1,CSCO_2024_Q4,1.3677592966801352e-09,1.3677592966801352e-09,0.0,0.0,0.0,1.3677592966801352e-09,0,"The last question a little bit stole my thunder, but I want to ask it anyway. On one hand, there is always a correlation between business cycles and restructuring. And here, you see a company that is improving on all ...",val2022_test_post2022::CSCO_2024_Q4,disagreement_auto_pre,CSCO,2024
0,0.9005679793365668,3,data center / computing / data / center / nvidia,1,CSCO_2025_Q1,8.36806010884613e-09,8.36806010884613e-09,0.0,0.0,0.0,8.36806010884613e-09,0,"I have 2 as well, if I may. Scott, I want to focus first on the January quarter outlook, which implies that OpEx is down about $90 million. I think mostly -- most of the roughly 10% workforce realignment this calendar...",val2022_test_post2022::CSCO_2025_Q1,disagreement_auto_pre,CSCO,2025
0,1.5944015804683986,2,you / just / your / about / how / on / maybe / could,-1,DIS_2024_Q1,2.299407775971829e-10,2.299407775971829e-10,0.0,0.0,0.0,2.299407775971829e-10,0,"One for you, Bob. One for you, Hugh. Bob, in answer to Ben's question, we're still kind of wondering, how does Hulu + Live fit into the long-term picture here, right? It stopped growing. YouTube is twice the size. Whe...",val2022_test_post2022::DIS_2024_Q1,disagreement_auto_pre,DIS,2024
1,3.4902668560457495,4,consulting / red hat / hat / red / arvind / software / cash,1,IBM_2024_Q3,8.753334060109362e-09,8.753334060109362e-09,0.0,0.0,0.0,8.753334060109362e-09,1,"Jim, I wanted to maybe ask the Consulting AI question maybe a different way, which was last quarter, you had noted that Consulting AI projects were largely cannibalizing other areas of Consulting spend. And I'm just c...",val2022_test_post2022::IBM_2024_Q3,agreement_keep_agreed,IBM,2024
0,1.082577351188755,2,we re / that we / and we / and so,1,MSFT_2023_Q1,6.530710329885651e-10,6.530710329885651e-10,0.0,0.0,0.0,6.530710329885651e-10,0,"Amy, last quarter, you called out, for the first time, SMB weakness. It sounds like that continued. I think many are questioning if did that get worse this quarter. And did you see it filter now into the enterprise? C...",val2022_test_post2022::MSFT_2023_Q1,disagreement_auto_pre,MSFT,2023
1,1.107367043532559,3,data center / computing / data / center / nvidia,1,MSFT_2023_Q3,1.7197860692543467e-10,1.7197860692543467e-10,0.0,0.0,0.0,1.7197860692543467e-10,1,"Yes, that's super helpful. I appreciate that. Great. I appreciate you squeezing me in. I want to ask a question on the consolidation play that Microsoft is positioned for, given that's something we hear clearly top of...",val2022_test_post2022::MSFT_2023_Q3,agreement_keep_agreed,MSFT,2023
1,2.840922969301186,2,we re / that we / and we / and so,1,MSFT_2023_Q4,1.920822452299477e-10,1.920822452299477e-10,0.0,0.0,0.0,1.920822452299477e-10,0,"And congrats on the quarter. Amy, CapEx moved up significantly Q-over-Q and year-over-year and it's increasing moving forward. Can you give us some color? Is it physical data centers? Is it predominantly servers? Is i...",val2022_test_post2022::MSFT_2023_Q4,agreement_veto_to_pre,MSFT,2023
0,2.8264657177482198,2,we re / that we / and we / and so,1,MSFT_2024_Q1,5.155973293662588e-10,5.155973293662588e-10,0.0,0.0,0.0,5.155973293662588e-10,0,You sound very optimistic about the opportunity in the Office space with Copilot coming out now very soon. Can you speak a little bit about the -- what you're seeing there in the customer base that tested this already...,val2022_test_post2022::MSFT_2024_Q1,disagreement_auto_pre,MSFT,2024
1,2.505772879256284,2,we re / that we / and we / and so,1,MSFT_2024_Q2,1.2899310056042066e-09,1.2899310056042066e-09,0.0,0.0,0.0,1.2899310056042066e-09,1,"Amy, the margin improvement is pretty shocking the most considering the investments that you and Satya are putting in AI. I'm curious if you could just walk through how this is possible and what you're seeing so far i...",val2022_test_post2022::MSFT_2024_Q2,agreement_keep_agreed,MSFT,2024
1,2.198277836617659,2,we re / that we / and we / and so,1,MSFT_2025_Q1,3.1186992515504447e-10,4.112993527713044e-11,0.0,2.7073998987791403e-10,0.0,4.112993527713044e-11,0,"Satya, when you talked about the investment cycle, these models are getting bigger, more expensive, but you also pointed out to how in the inference phase, we're likely to get paid. How does that cycle look like in in...",val2022_test_post2022::MSFT_2025_Q1,agreement_veto_to_pre,MSFT,2025
1,1.1122796160987602,3,disney / nike / sports / parks,-1,NKE_2023_Q2,5.631295052921487e-13,1.6164320304933845e-10,0.0,-1.610800735440463e-10,0.0,1.6164320304933845e-10,0,"Excellent. Congrats on a nice quarter and the acceleration. Just, Matt, as we look at the constant currency revenue guidance implied for the back half of the year, it does assume a bit of a deceleration. Just talk abo...",val2022_test_post2022::NKE_2023_Q2,agreement_veto_to_pre,NKE,2023
0,1.6156249727534118,2,you / just / your / about / how / on / maybe / could,-1,NKE_2023_Q3,8.485309435981344e-10,8.485309435981344e-10,0.0,0.0,0.0,8.485309435981344e-10,0,"Great. Congrats on a very nice quarter and progression with all of your priorities. So John, maybe as you break down underlying drivers of the current business momentum, could you just speak to market share accelerati...",val2022_test_post2022::NKE_2023_Q3,disagreement_auto_pre,NKE,2023
0,1.3412125947994662,2,you / just / your / about / how / on / maybe / could,-1,NKE_2024_Q1,5.732598931736406e-09,5.732598931736406e-09,0.0,0.0,0.0,5.732598931736406e-09,0,"Great. I guess my question is going to be on kind of the shaping of wholesale. Matt, if you can help us out with the -- I guess, do we expect direct to be similar to the current quarter and then the balance of that --...",val2022_test_post2022::NKE_2024_Q1,disagreement_auto_pre,NKE,2024
0,1.5650070403508736,2,we re / that we / and we / and so,1,NKE_2024_Q2,5.638346861167646e-10,5.638346861167646e-10,0.0,0.0,0.0,5.638346861167646e-10,0,"So a 2-part question. John, could you maybe elaborate on the structural changes that you cited that maybe in the pivot to the front foot on innovation, just the structural changes that you see supporting that and what...",val2022_test_post2022::NKE_2024_Q2,disagreement_auto_pre,NKE,2024
0,1.192698229906328,3,disney / nike / sports / parks,-1,NKE_2024_Q3,2.0186354775557195e-10,2.0186354775557195e-10,0.0,0.0,0.0,2.0186354775557195e-10,0,"Just 2 quick questions for me. The first one is, in the running area, when you talk about wholesale, can you talk about any progress that you're seeing with the RSGs as partners? And then the second question is, Matt,...",val2022_test_post2022::NKE_2024_Q3,disagreement_auto_pre,NKE,2024
0,1.1498795002935227,3,disney / nike / sports / parks,-1,NKE_2025_Q1,1.8870898849998963e-10,1.8870898849998963e-10,0.0,0.0,0.0,1.8870898849998963e-10,0,"Matt, I just wanted to drill down on this kind of unit disappointment in the quarter. Have you guys identified what exactly like the biggest challenges or, I guess, problem areas are that you didn't expect a few month...",val2022_test_post2022::NKE_2025_Q1,disagreement_auto_pre,NKE,2025
1,0.8906503513033234,1,the / and / to / of / that / we / you / in,1,NKE_2025_Q2,1.2518559171811454e-08,3.1004640826957866e-08,-1.848608165514641e-08,-1.848608165514641e-08,0.0,3.1004640826957866e-08,0,"Great. And I guess one of the other meetings, I think you said you had was with the NCAA. Just curious if you think this is the year for the Ducks, are they going to win the college football playoff? I want to follow ...",val2022_test_post2022::NKE_2025_Q2,agreement_veto_to_pre,NKE,2025
1,1.56564183172009,3,data center / computing / data / center / nvidia,1,NVDA_2023_Q1,3.230778073110449e-09,5.812751859225851e-10,2.649502887187864e-09,2.649502887187864e-09,0.0,5.812751859225851e-10,0,"And I actually really appreciate it that you called out demand. For most chip companies, it seems like it's heresy to say demand is a problem, so it's so refreshing to hear that. I had a question on the second half, a...",val2022_test_post2022::NVDA_2023_Q1,agreement_veto_to_pre,NVDA,2023
0,2.5235033289965063,3,data center / computing / data / center / nvidia,1,NVDA_2023_Q2,8.363912244169943e-10,8.363912244169943e-10,0.0,0.0,0.0,8.363912244169943e-10,0,"I just had a longer-term question about once your Gaming business normalizes, with the absence of crypto in a general sense and with the merge coming, et cetera, how do you view the pricing environment? I know you guy...",val2022_test_post2022::NVDA_2023_Q2,disagreement_auto_pre,NVDA,2023
1,2.34211404416909,3,data center / computing / data / center / nvidia,1,NVDA_2023_Q4,1.021174497384431e-09,1.021174497384431e-09,0.0,0.0,0.0,1.021174497384431e-09,0,"I guess, Jensen, you talked about ChatGPT as an inflection point kind of like the iPhone. And so curious, part A, how have your conversations evolved post-ChatGPT with hyperscale and large-scale enterprises? And then ...",val2022_test_post2022::NVDA_2023_Q4,agreement_veto_to_pre,NVDA,2023
0,2.16911709267965,3,data center / computing / data / center / nvidia,1,NVDA_2024_Q2,1.8603079392038767e-08,1.8603079392038767e-08,0.0,0.0,0.0,1.8603079392038767e-08,0,"I was wondering, Colette, if you could tell me like how much of Data Center in the quarter, maybe even the guide, is like systems versus GPU, like DGX versus just the H100. What I'm really trying to get at is how much...",val2022_test_post2022::NVDA_2024_Q2,disagreement_auto_pre,NVDA,2024
1,2.5378714660607464,3,data center / computing / data / center / nvidia,1,NVDA_2024_Q3,6.803059208628158e-10,6.803059208628158e-10,0.0,0.0,0.0,6.803059208628158e-10,0,"I wanted to clarify something with Colette real quick, and then I had a question for Jensen as well. Colette, you mentioned that you'll be introducing regulation-compliant products over the next couple of months, yet ...",val2022_test_post2022::NVDA_2024_Q3,agreement_veto_to_pre,NVDA,2024
1,1.5408793442220872,3,data center / computing / data / center / nvidia,1,NVDA_2024_Q4,1.761942411818485e-10,1.761942411818485e-10,0.0,0.0,0.0,1.761942411818485e-10,1,"I wanted to follow up on the 40% of revenues coming from inference. It's a bigger number than I expected. Can you give us some sense of where that number was maybe the year before, how much you're seeing growth around...",val2022_test_post2022::NVDA_2024_Q4,agreement_keep_agreed,NVDA,2024
1,1.6852652834363133,2,we re / that we / and we / and so,1,NVDA_2025_Q2,4.807145604323865e-09,4.807145604323865e-09,0.0,0.0,0.0,4.807145604323865e-09,1,"Jensen, I wanted to kind of circle back to an earlier question, the debate that investors are having, about the ROI on all of this CapEx. And hopefully, this question and the distinction will make some sense. But what...",val2022_test_post2022::NVDA_2025_Q2,agreement_keep_agreed,NVDA,2025
1,0.9285149404352947,1,high performance / models that / computing is / that allows / all over / runs / hundreds of / it into,-1,AMZN_2023_Q4,1.5682721466815105e-11,2.2428908306968284e-12,-1.3439830636118276e-11,0.0,-1.3439830636118276e-11,1.5682721466815105e-11,1,"I'm just going to do a two-parter on AWS. If we take a step back, can you talk a little bit about the contribution from backlog conversion, AI workloads and some elements that allowed you to reaccelerate revenue at AW...",val2022_test_post2022::AMZN_2023_Q4,agreement_keep_agreed,AMZN,2023
1,2.3400023947666986,2,you / just / your / about / how / on / maybe / could,-1,AAPL_2023_Q3,1.880255663877407e-10,1.4273222041310648e-10,0.0,0.0,-4.529334597463421e-11,1.880255663877407e-10,1,"I have 2 of them as well. Number one, on iPhone, Tim, you mentioned about the record number of switchers in the quarter. I'm kind of curious how to think about, given the weak macro and consumer spending, how is the r...",val2022_test_post2022::AAPL_2023_Q3,agreement_keep_agreed,AAPL,2023
1,1.3235441733360633,1,high performance / models that / computing is / that allows / all over / runs / hundreds of / it into,-1,DIS_2023_Q1,2.0904599378648317e-09,2.0162244214164274e-09,-7.423551644840434e-11,0.0,-7.423551644840434e-11,2.0904599378648317e-09,1,"Bob, following up on Michael, there's been a lot of talk in the last year about whether Disney should keep, spin, sell or trade ESPN. With it now as a stand-alone segment, can you give us your view on the future of Di...",val2022_test_post2022::DIS_2023_Q1,agreement_keep_agreed,DIS,2023
1,2.6440092922860816,4,consulting / red hat / hat / red / arvind / software / cash,1,IBM_2023_Q2,7.591893312610454e-10,6.616708647151305e-10,0.0,0.0,-9.751846654591493e-11,7.591893312610454e-10,1,"Arvind, you spoke extensively about the favorable impact of pricing on the transaction processing portfolio. What have you learned from repricing that portfolio? And what other segments of your business could potentia...",val2022_test_post2022::IBM_2023_Q2,agreement_keep_agreed,IBM,2023
1,1.714831916793644,3,data center / computing / data / center / nvidia,1,MSFT_2024_Q3,1.305657602763629e-10,3.3931679155781493e-12,0.0,0.0,-1.2717259236078476e-10,1.305657602763629e-10,1,"I'll add my congrats in the quarter. Satya, I was wondering if you could chime in on a discussion that comes up a lot with investors, which is, is there a sort of data quality problem in the market in terms of being a...",val2022_test_post2022::MSFT_2024_Q3,agreement_keep_agreed,MSFT,2024
1,2.8149369549067207,4,consulting / red hat / hat / red / arvind / software / cash,1,IBM_2024_Q2,3.493988519797294e-10,2.0412839461501818e-10,0.0,0.0,-1.4527045736471123e-10,3.493988519797294e-10,1,"My question is really on the Consulting side. And when I think about this business growing low single digits for '24, if I take out some of the M&A contribution, also some of the revenues from the AI book of business ...",val2022_test_post2022::IBM_2024_Q2,agreement_keep_agreed,IBM,2024
1,1.3702577904674713,1,high performance / models that / computing is / that allows / all over / runs / hundreds of / it into,-1,AMZN_2023_Q3,3.8371926679673367e-10,1.0907101761581044e-10,-2.746482491809232e-10,0.0,-2.746482491809232e-10,3.8371926679673367e-10,1,"Maybe one follow-up on AWS and one on the ads business. Andy, would love your perspective. The cloud optimization theme started in the second half of '22 when there were a lot of macro concerns. And then the AI theme ...",val2022_test_post2022::AMZN_2023_Q3,agreement_keep_agreed,AMZN,2023
1,3.320104303298481,4,consulting / red hat / hat / red / arvind / software / cash,1,IBM_2023_Q3,3.236544386649635e-10,2.2328547811182313e-11,0.0,0.0,-3.013258908537812e-10,3.236544386649635e-10,1,"Maybe, Jim, this is for you. You didn't change your Software, Consulting guidance ranges for the year. I think you had a minor benefit from Apptio closing earlier -- early in 3Q. But you now expect a full year constan...",val2022_test_post2022::IBM_2023_Q3,agreement_keep_agreed,IBM,2023
1,1.2287664031115066,1,high performance / models that / computing is / that allows / all over / runs / hundreds of / it into,-1,NKE_2023_Q1,1.148531914679161e-09,1.26425966423928e-10,0.0,0.0,-1.022105948255233e-09,1.148531914679161e-09,1,"I wanted to just hit on macro fears, which are obviously top of mind for investors right now, particularly as it relates to potential recession. Can you just talk about what your guidance assumes as it relates to any ...",val2022_test_post2022::NKE_2023_Q1,agreement_keep_agreed,NKE,2023
1,1.747706585914663,1,high performance / models that / computing is / that allows / all over / runs / hundreds of / it into,-1,AMZN_2024_Q1,1.1918063392763788e-09,1.385889533423996e-11,0.0,0.0,-1.1779474439421387e-09,1.1918063392763788e-09,1,"I thought I'd ask a couple of growth drivers that you mentioned. First, grocery, it seems like you're still changing the threshold for free delivery or the subscription prices. Just can you say at all how much that's ...",val2022_test_post2022::AMZN_2024_Q1,agreement_keep_agreed,AMZN,2024
1,0.5627330889377804,1,high performance / models that / computing is / that allows / all over / runs / hundreds of / it into,-1,AMZN_2024_Q3,2.0183574216665614e-09,6.241346035405453e-13,0.0,0.0,-2.017733287063021e-09,2.0183574216665614e-09,1,"A question on online stores. The third-party unit mix declined a little bit in Q3, which is unusual. So just wondering if there are any specific drivers of that shift. And then secondly, you made a lot of progress wit...",val2022_test_post2022::AMZN_2024_Q3,agreement_keep_agreed,AMZN,2024
1,2.93754154932688,4,consulting / red hat / hat / red / arvind / software / cash,1,IBM_2024_Q1,4.594488893922368e-09,8.527021503198401e-10,0.0,0.0,-3.7417867436025284e-09,4.594488893922368e-09,1,"I think I might try a qualitative version of an earlier question around gen AI. And I think just we see so much of the news feed being around kind of the hype cycle, and obviously, growing $1 billion book of business ...",val2022_test_post2022::IBM_2024_Q1,agreement_keep_agreed,IBM,2024
1,1.306175471835949,2,you / just / your / about / how / on / maybe / could,-1,CSCO_2024_Q2,1.3793415745393556e-08,2.591314095999865e-09,0.0,0.0,-1.1202101649393692e-08,1.3793415745393556e-08,1,"I'll keep it to one and one follow-up. So main question, just around inventory digestion. Is that dynamic primarily affecting enterprise and commercial customers? And can you talk a little bit about the visibility you...",val2022_test_post2022::CSCO_2024_Q2,agreement_keep_agreed,CSCO,2024
